,title,session-type,themes,categories,gender
Patrick McCormick,JSON Doesn’t Need Remind You of Friday the 13th,Session,Data and Analytics Skills & Data Management,No categories,male
Sherry McFarland,The Home Depot:  How we get I.T. Done with Analytics,Session,Data Culture & Tableau at Scale,Retail,female
Briana Evans,Smarketing: A Sales and Marketing Love Story,Session,Data Culture,Marketing & Sales,female
Meghan Mclendon,Smarketing: A Sales and Marketing Love Story,Session,Data Culture,Marketing & Sales,female
Tucker Sjoblad,Can't Touch This: Row Level Security in Tableau,Hands-on Training,Data Management,No categories,male
James Evans,Can't Touch This: Row Level Security in Tableau,Hands-on Training,Data Management,No categories,male
Howard Min,Give Us the Deets: LOD Calcs for New Tableau Users,Hands-on Training,Data and Analytics Skills,No categories,male
Laura Record,Jedi Calcs: Your Calcs Awaken,Hands-on Training,Data and Analytics Skills,No categories,female
Tim Pritchard,Jedi Calcs: Your Calcs Awaken,Hands-on Training,Data and Analytics Skills,No categories,male
Ethan Roberts,Gettin' Vizzy with it: Advanced Visualization Types,Hands-on Training,Dashboard and Design,No categories,male
Katie Geno,Gettin' Vizzy with it: Advanced Visualization Types,Hands-on Training,Dashboard and Design,No categories,female
Irene Ng,Storytelling: How Brands Can Benefit from Social Media Analytics,Session,Data Culture,Marketing,female
Alyssa Peck,Bringing Data Science to the End-User with Tableau,Session,Smart Analytics,No categories,female
Nathaniel Rowe,Third Channel: Democratizing Data for Scalability and Profit with Embedded Analytics,Session,Data Culture,No categories,male
Ted Kaouk,USDA: Creating a Data-Driven Culture,Session,Data Culture,Public Sector,male
Benjamin Stone,USDA: Creating a Data-Driven Culture,Session,Data Culture,Public Sector,male
Scott Webber,Expedia: Making Advanced Analytics Simple with Ask Data,Session,Smart Analytics,No categories,male
Anand Vamsee (AV) Jonnabhotla,Expedia: Making Advanced Analytics Simple with Ask Data,Session,Smart Analytics,No categories,male
Silvia Cioffi,Lots of Fun with Level of Details,Session,Data and Analytics Skills,No categories,female
Ryan Atallah,"Data Roles, Semantics, and Metadata Inheritance Across Data Sources",Session,Smart Analytics,No categories,mostly_male
Doug Grindel,"PNC Bank: Data Science for Combining Data Visualization, Embedded Analytics, and Machine Learning Models",Session,Smart Analytics,Financial Services,male
Anthony Brown,Lockheed Martin's Progressive Approach to Powering Adoption at Enterprise Scale,Session,Data Culture & Tableau at Scale,Public Sector,male
Stephen C. Boffa,Lockheed Martin's Progressive Approach to Powering Adoption at Enterprise Scale,Session,Data Culture & Tableau at Scale,Public Sector,male
Nick Roush,BNSF Railway: How Migrating from 74 Sites to 2 Tamed the Wild West,Session,Tableau at Scale,No categories,male
Amy Hsieh,Moving Mindset through Metrics: Agile Transformation at Tableau,Session,Data and Analytics Skills,No categories,female
Isaac Obezo,Moving Mindset through Metrics: Agile Transformation at Tableau,Session,Data and Analytics Skills,No categories,male
Robert Bloom,Moving Mindset through Metrics: Agile Transformation at Tableau,Session,Data and Analytics Skills,No categories,male
Ben Lower,Dashboard Extensions: How to Get Started Writing your Own,Session,Embedded Analytics & Tableau Community,No categories,male
Adam Diaz,Data Intelligence: From Data Discovery to Business Transformation,Session,No theme,No categories,male
Gabriel Horwitz,WeWork: Rapid Server Growth & Data-Driven Dashboard Design,Session,Dashboard and Design & Tableau at Scale,No categories,male
David Hey,WeWork: Rapid Server Growth & Data-Driven Dashboard Design,Session,Dashboard and Design & Tableau at Scale,No categories,male
Kevin Glover,The Cost of Business: Using Tableau to Uncover Your True Public Cloud Spend,Session,Tableau at Scale,No categories,male
Jon Parten,Cloud Maturity: The Tableau Journey in the Public Cloud,Session,Tableau at Scale,No categories,male
Lillian Catts,Visualize a Better World with Data and Analytics,Session,Tableau Community,No categories,female
Alex Wheeler,"Parameters: Driving Interactivity One Dashboard at a Time, Part 1",Hands-on Training,Data and Analytics Skills,No categories,male
Geoff Somerville,"Parameters: Driving Interactivity One Dashboard at a Time, Part 1",Hands-on Training,Data and Analytics Skills,No categories,male
Ann Ho,Tableau Hacks: Use Tableau Server to Fit Your Workflow,Session,Data Culture,No categories,female
Matthew Caudill,USAA: Breaking the Request Cycle to get from Full Service to Self Service,Session,Data Culture,Financial Services,male
Ryan Goree,USAA: Breaking the Request Cycle to get from Full Service to Self Service,Session,Data Culture,Financial Services,mostly_male
Scott King,Tableau + Python = ❤,Hands-on Training,Smart Analytics,No categories,male
Siddharth Dayama,Verizon: Advanced Customer Service Analytics to drive CX for over 118 million Retail Connections,Session,Embedded Analytics & Smart Analytics,No categories,unknown
Gregory Mcconney,Verizon: Advanced Customer Service Analytics to drive CX for over 118 million Retail Connections,Session,Embedded Analytics & Smart Analytics,No categories,male
Nick Goodhartz,Make your Mark (with Tableau),Hands-on Training,Dashboard and Design,No categories,male
Ryan Lanigan,Make your Mark (with Tableau),Hands-on Training,Dashboard and Design,No categories,mostly_male
Emiliano Colosimo,"Automation, Automation, Automation",Session,Tableau at Scale,No categories,male
Kesav Rayaprolu,"Automation, Automation, Automation",Session,Tableau at Scale,No categories,unknown
Keshia Rose,The API 360: Popular Use Cases with Our Top APIs,Session,Embedded Analytics & Tableau Community,No categories,female
Geraldine Zanolli,The API 360: Popular Use Cases with Our Top APIs,Session,Embedded Analytics & Tableau Community,No categories,female
Zaheera Valani,Governance with Tableau Data Management: Very Scenario Focused (Catalog Focus),Session,Data Management,No categories,unknown
Darlene Adams,PEMCO Insurance: Shifting Mindsets and Driving Adoption in the Claims Department,Session,Data Culture,Financial Services,female
Tim Hughes,PEMCO Insurance: Shifting Mindsets and Driving Adoption in the Claims Department,Session,Data Culture,Financial Services,male
Barbara-Jo Achuff,Baylor College: Visualizing Brighter Outcomes for Children with Critical Illness,Session,Data and Analytics Skills,Healthcare & Education,unknown
Bill Dwyer,CustomTech Software: An Embedded Tableau Solution for Data-Challenged K-12 Data Consumers,Session,Embedded Analytics,Education,male
Lee Feinberg,CustomTech Software: An Embedded Tableau Solution for Data-Challenged K-12 Data Consumers,Session,Embedded Analytics,Education,mostly_male
Sarah Cherenack,US Holocaust Memorial Museum: Doing Good Quickly with Rapid Prototyping for the Agile Nonprofit,Session,Dashboard and Design,Public Sector,female
Shelby Queen,US Holocaust Memorial Museum: Doing Good Quickly with Rapid Prototyping for the Agile Nonprofit,Session,Dashboard and Design,Public Sector,mostly_female
Filippos Lymperopoulos,Interactive Analytics with Parameter Actions,Session,Data and Analytics Skills,No categories,male
Stephanie Gr. Kamphake,Hunkemöller: How Europe's largest lingerie retailer uses Tableau to drive Consumer Sales,Session,Data Culture,Retail,female
Rob Ortiz,"All Meat, No Fillers: Keyence’s Ki Series AI Platform",Session,Data Management & Smart Analytics,No categories,male
Brian Neely,"All Meat, No Fillers: Keyence’s Ki Series AI Platform",Session,Data Management & Smart Analytics,No categories,male
Nick Magnusson,The Evolution of Machine Learning,Session,No theme,No categories,male
Kate Grinevskaja,Data Catalog Introduction and Overview,Session,Data Management,No categories,female
Becky Wood,PayScale: Bridging the Gap by Facilitating Data-Based Discussions about Pay Equity,Session,Data and Analytics Skills,Finance,female
Ben Jones,Data Literacy LLC: Eight Data Story Types,Session,Dashboard and Design & Data Culture,No categories,male
Erin Pemberton,YETI Coolers: A Field Guide to Analytics,Session,Data and Analytics Skills,Retail,mostly_female
Samuel Santos,YETI Coolers: A Field Guide to Analytics,Session,Data and Analytics Skills,Retail,male
Adam Cox,YETI Coolers: A Field Guide to Analytics,Session,Data and Analytics Skills,Retail,male
Richie Bachala,"The Sherwin-Williams Company: Leveraging Integrated, Real World AI and BI",Session,Smart Analytics,No categories,male
Paul Lampi,Memorial Hermann: Using Tableau to Identify Insights that can Provide Real Change for Healthcare Providers,Session,Data Culture,Healthcare,male
Sameer Khan,Memorial Hermann: Using Tableau to Identify Insights that can Provide Real Change for Healthcare Providers,Session,Data Culture,Healthcare,male
Rafi Zelikowsky,Designing a Corporate Standard for your Dashboards,Session,Dashboard and Design,No categories,male
Peter Jönsson,Getting the Most Out of Tableau on Google Cloud,Session,Tableau at Scale,No categories,male
Rachel Kalmar,Explaining Data with Automated Bayesian Modeling,Session,Smart Analytics,No categories,female
Jamie Whitehorn,British Airways:  Our Tableau Journey from Corporate Outlier to Corporate Mainstream,Session,Data Culture & Smart Analytics,No categories,mostly_female
Amanda Haas,Bristol-Myers Squibb: O2C Americas Achieving Operational Excellence Using Tableau,Session,Data and Analytics Skills,Healthcare & Financial Services,female
Michael Spence,Transurban: From Zero to Enterprise in Just 18 Months,Session,Tableau at Scale & Data Culture,No categories,male
Gordon Rose,How to Build a Tableau Portal in 60 Minutes or Less,Session,Embedded Analytics & Tableau Community,No categories,male
Ron Dugger,How to Build a Tableau Portal in 60 Minutes or Less,Session,Embedded Analytics & Tableau Community,No categories,male
Alfred Mathena,USAA: Leveraging Tableau to Understand Risk,Session,Tableau at Scale,Financial Services,male
Mark Rogozinski,"CVS: When You are the Size of a Small Country, All Data is Big.",Session,Data Culture,No categories,male
Sherri Romano,"CVS: When You are the Size of a Small Country, All Data is Big.",Session,Data Culture,No categories,female
Gonzalo Gutierrez,"Ready, Set, Go! Sets and Set Actions",Hands-on Training,Data and Analytics Skills,No categories,male
Michael Hizny,"Ready, Set, Go! Sets and Set Actions",Hands-on Training,Data and Analytics Skills,No categories,male
Jade Le Van,Next-Level Viz in Tooltip,Session,Data and Analytics Skills,No categories,female
Jenna Gegg,The Cost of Business: Using Tableau to Uncover Your True Public Cloud Spend,Session,Tableau at Scale,No categories,female
Joseph Roach,HRSA: Data Analytics for Enhanced Financial Management and Internal Controls,Session,Data and Analytics Skills,Finance & Public Sector,male
Owen Mead-Robins,Embedding Tableau: A Deep Dive in the JavaScript API,Hands-on Training,Embedded Analytics & Tableau Community,No categories,male
Ron Theis,Mobile App Bootstrap: Custom Mobile Apps with Embedded Tableau Visualizations,Session,Embedded Analytics & Tableau Community,No categories,male
Alex Vertin,Mobile App Bootstrap: Custom Mobile Apps with Embedded Tableau Visualizations,Session,Embedded Analytics & Tableau Community,No categories,male
Rajeev Marwah,Trinet: Embedding Tableau Dashboards into Salesforce,Session,Embedded Analytics,No categories,male
Mike Crook,Become a Building Block Master: Financial Data Prep,Hands-on Training,Data Management,Finance,male
Dan Liang,Become a Building Block Master: Financial Data Prep,Hands-on Training,Data Management,Finance,male
Ashlyn Opgrade,Become a Building Block Master: Financial Data Prep,Hands-on Training,Data Management,Finance,female
Jessica Wallace,"Automation Hookup: REST, Webhooks, and More",Session,Embedded Analytics & Tableau Community,No categories,female
Ang  Gao,"Automation Hookup: REST, Webhooks, and More",Session,Embedded Analytics & Tableau Community,No categories,andy
Jacob Olsufka,Spotify: Making Data Dance with Analytics,Session,Data and Analytics Skills,No categories,male
Erwin van Laar,"Hot, Hotter, Hyper: How to Handle Big Data",Session,Data Management,No categories,male
Marius Kaiser,"Hot, Hotter, Hyper: How to Handle Big Data",Session,Data Management,No categories,male
Dinc Ciftci,A Deep Dive into Encryption at Rest,Session,Tableau at Scale,No categories,unknown
Jakob Mund,A Deep Dive into Encryption at Rest,Session,Tableau at Scale,No categories,male
Kirk Munroe,Meeting your Users Half Way: Exporting and Tableau,Session,Data Culture,No categories,male
Boris Busov,"Advanced Calculations: IF [you attend] THEN ""Calculations Master"" END",Hands-on Training,Data and Analytics Skills,No categories,male
Reynolds Yarbrough,"Advanced Calculations: IF [you attend] THEN ""Calculations Master"" END",Hands-on Training,Data and Analytics Skills,No categories,unknown
Mary Grace Glascott,Extending Your Data Catalog into Tableau,Session,Data Management,No categories,mostly_female
Blair Hutchinson,Extending Your Data Catalog into Tableau,Session,Data Management,No categories,andy
Bethany Lyons,New Data Modeling Overview,Session,Data and Analytics Skills,No categories,female
Rachel Robinson,Lead with Data,Session,Tableau Community & Data Culture,No categories,female
Nena Ballas,Lead with Data,Session,Tableau Community & Data Culture,No categories,female
Becca Hitchman,Tableau Services Manager Updates,Session,Tableau at Scale,No categories,female
Manish Pathak,FICO: Joining Forces with Tableau to Help Marketers Understand their Customers and Optimize Engagement,Session,Data and Analytics Skills,Public Sector & Marketing,male
Amy Esselman,FICO: Joining Forces with Tableau to Help Marketers Understand their Customers and Optimize Engagement,Session,Data and Analytics Skills,Public Sector & Marketing,female
Melissa Pomeroy,St. Mary's Bank: Get your Head in the Cloud,Session,Data Culture,Financial Services,female
Krista McKee,Takeda Pharmaceuticals: Putting Patients First with Tableau,Session,Embedded Analytics & Dashboard and Design,Healthcare,female
Raveen Sharma,Takeda Pharmaceuticals: Putting Patients First with Tableau,Session,Embedded Analytics & Dashboard and Design,Healthcare,unknown
Stephen Brobst,Best Practices in Governance for Enterprise Deployment of Analytics at Walmart,Session,No theme,No categories,male
Heidi Daniels,Best Practices in Governance for Enterprise Deployment of Analytics at Walmart,Session,No theme,No categories,female
Amanda Lapid,How Tableau uses Google Analytics,Session,Embedded Analytics,No categories,female
Jamie Furr,BofA Merrill Lynch: Creating Efficiency AND Driving Revenue with Tableau,Session,Embedded Analytics,Financial Services & Sales,mostly_female
Rahul Motwani,Deploying Tableau Mobile at Enterprise Scale,Session,Tableau at Scale,No categories,male
Sham Dorairaj,Deploying Tableau Mobile at Enterprise Scale,Session,Tableau at Scale,No categories,male
Kevin Taylor,Self-Service and Governance: The Art of Balance,Session,Data Culture,No categories,male
Tyler Doyle,Understand your Tableau Assets with the Metadata API,Hands-on Training,Embedded Analytics & Tableau Community,No categories,mostly_male
Graeme Britz,Make that Metadata Flow: Metadata API Discussion,Session,Embedded Analytics & Tableau Community,No categories,male
Jason Oakes,Designing Efficient Workbooks: Live on Stage!,Session,Data and Analytics Skills,No categories,male
Diane Lee,Cisco Systems: Dealing with Major Data Changes like a Game of Thrones,Session,Data Management,No categories,female
Denise Asplund,Cisco Systems: Dealing with Major Data Changes like a Game of Thrones,Session,Data Management,No categories,female
Dave Kopniske,KPIs,Hands-on Training,Dashboard and Design,No categories,male
Anthony Young,KPIs,Hands-on Training,Dashboard and Design,No categories,male
Arijit Sengupta,Aible: Supercharging Tableau with AI to Deliver Business Impact,Session,Smart Analytics,No categories,unknown
Mark Langsfeld,Tooth Be Told: Drilling Into Data Using AI-powered Voice Analytics,Session,No theme,No categories,male
Becky Master,Tooth Be Told: Drilling Into Data Using AI-powered Voice Analytics,Session,No theme,No categories,female
Eli Blankers,Let's Talk about Sets: Set (and parameter) Actions,Hands-on Training,Data and Analytics Skills,No categories,female
Rob Chapekis,Let's Talk about Sets: Set (and parameter) Actions,Hands-on Training,Data and Analytics Skills,No categories,male
Michael Tsyvine,Booz Allen Hamilton: How One Difficult Decision Paved the Way for a Data and Analytics Revolution,Session,Data Culture,Public Sector,male
Jason Lokkesmoe,Pearson and SDSU: Powering an Intelligence Revolution from the Ground up with AWS & Tableau,Session,Data Management,Education,male
Maureen Guarcello,Pearson and SDSU: Powering an Intelligence Revolution from the Ground up with AWS & Tableau,Session,Data Management,Education,female
Jason Eisman,Charles Schwab: Tableau for Corporate Risk Management and how we run our Tableau User Group,Session,Data Culture,Financial Services,male
Marc Psaila,My Boss told me to Draw a Map: A Guide through Map Best Practices,Session,Data and Analytics Skills,No categories,male
James Chen,Server CPR,Hands-on Training,Tableau at Scale,No categories,male
Michael Correll,"Lies, Distortions, and Misrepresentations in Visualization",Session,Dashboard and Design,No categories,male
Amanda Boyle,Creating a Tableau Community,Session,Data Culture,No categories,female
Erin Simpler Kellett,Consumer Financial Protection Bureau: Analyzing Salesforce Data with Tableau,Session,Embedded Analytics,Public Sector,mostly_female
Cathy Dumas,Building an Online Center of Excellence with Admin Insights,Session,Tableau at Scale,No categories,female
Jock Mackinlay,Data Stories and Animation,Session,Dashboard and Design,No categories,male
Amy Mikoleit,Data Catalog: Tidying up Tableau Server,Hands-on Training,Data Management,No categories,female
Leah Purdy,Data Catalog: Tidying up Tableau Server,Hands-on Training,Data Management,No categories,female
Christopher Wilkins,Tableau Server Security In-Depth,Session,Tableau at Scale,No categories,male
John Blackie,Tableau Server Security In-Depth,Session,Tableau at Scale,No categories,male
Klaus Schulte,"Zen Master: ""Surprise Me"" Creating Advanced and Unique Charts",Session,Dashboard and Design,No categories,male
Ivett Kovacs,"Zen Master: ""Surprise Me"" Creating Advanced and Unique Charts",Session,Dashboard and Design,No categories,unknown
Adam Rauh,"Stirred, not Shaken: The Perfect Data Blend",Hands-on Training,Data Management,No categories,male
John Demby,CRM <3 Tableau Embedded Analytics,Session,Embedded Analytics & Tableau Community,No categories,male
Jin Yao,Johnson County KS: Reduce EMS Frequent Users with Help from Location Intelligence,Session,Embedded Analytics,Healthcare & Public Sector,female
Matt Coles,Stop. Joining. Repository. Tables. Just Stop.,Session,Tableau at Scale,No categories,male
Aarati Sriram,Tinuiti: Using Tableau Prep Builder and Conductor to Wrangle Marketing Data,Session,Data Management,No categories,unknown
Andrew Richardson,Tinuiti: Using Tableau Prep Builder and Conductor to Wrangle Marketing Data,Session,Data Management,No categories,male
Michael Shen,Kaiser Permanente: Improving Diabetes Care with Data-Informed Insights,Session,Data Culture,Healthcare,male
Jeremy Mayo,Embedding Tableau: A Deep Dive in the JavaScript API,Hands-on Training,Embedded Analytics & Tableau Community,No categories,male
Melinda Lee,Data Server Data Governance: Designing a Well-Curated Data Source,Hands-on Training,Tableau at Scale,No categories,female
JeNaye Johnson,Data Server Data Governance: Designing a Well-Curated Data Source,Hands-on Training,Tableau at Scale,No categories,unknown
Joshua Milligan,Zen Master: Exploring and Using New Releases of Tableau and Tableau Prep,Session,Data Culture,No categories,male
Gordon Marantz,Disney: Driving a Self-Service Culture through Architectural Innovation,Session,Embedded Analytics & Data Culture,No categories,male
Paul Hockel,General Dynamics: Turning Military Intelligence into Business Intelligence,Session,Data Culture,Public Sector,male
David Sigerson,How to Lie with Statistics,Session,Data and Analytics Skills,No categories,male
Christophe Ortegat,A Voyage Through Embedded Analytics,Session,Embedded Analytics & Tableau Community,No categories,male
Madhav Kannan,A Voyage Through Embedded Analytics,Session,Embedded Analytics & Tableau Community,No categories,male
Sasha Singh,Scaffolding: The Solution to Tough Time-Based Problems,Session,Data Management,No categories,mostly_male
Tyler May,"Stirred, not Shaken: The Perfect Data Blend",Hands-on Training,Data Management,No categories,mostly_male
Ben Saitz,Tableau Tech Support on Tableau,Session,Data Culture,No categories,male
Brett Megaard,Tableau Tech Support on Tableau,Session,Data Culture,No categories,male
Kimberly Coutts,MiraCosta College's Superheroes are Turning Data into Action Figures,Session,Dashboard and Design,Education,mostly_female
Lisa Trescott,MiraCosta College's Superheroes are Turning Data into Action Figures,Session,Dashboard and Design,Education,female
Gerson Vasquez,"U.S. Census Bureau: The Data That Powers Our Democracy, Can Also Power Your Visualization",Session,Tableau Community & Data and Analytics Skills,Public Sector,male
Ryan Dolan,"U.S. Census Bureau: The Data That Powers Our Democracy, Can Also Power Your Visualization",Session,Tableau Community & Data and Analytics Skills,Public Sector,mostly_male
Chris Shin,Integrate Tableau into Custom Workflows,Hands-on Training,Embedded Analytics & Tableau Community,No categories,mostly_male
Priya Reguraman,Integrate Tableau into Custom Workflows,Hands-on Training,Embedded Analytics & Tableau Community,No categories,female
Reed Walton ,Embedded Analytics with Tableau (for Tableau Partners only),Session,Embedded Analytics,No categories,male
Phil D'Amico,Embedded Analytics with Tableau (for Tableau Partners only),Session,Embedded Analytics,No categories,male
Chris Bullock,Seeing and Understanding Your AWS Journey with Tableau,Session,Tableau at Scale,No categories,mostly_male
Claire Folks,Dazzling Dashboards: Finesse your Format,Hands-on Training,Dashboard and Design,No categories,female
Duncan Wingfield,Dazzling Dashboards: Finesse your Format,Hands-on Training,Dashboard and Design,No categories,male
Archana Ganeshalingam,Scaffolding: The Solution to Tough Time-Based Problems,Session,Data Management,No categories,female
Tanushree Rohera,Monkeying about with Survey Data in Tableau Prep,Session,Data Management,No categories,unknown
Madeleine Thompson,Your Data Does Not Tell You That,Session,Data and Analytics Skills,No categories,female
David Furst,Wells Fargo Advisors: How we use Tableau for just about everything.,Session,Data Culture & Dashboard and Design,Financial Services,male
John Miller,Wells Fargo Advisors: How we use Tableau for just about everything.,Session,Data Culture & Dashboard and Design,Financial Services,male
Stefan Kaminski,T-Mobile US: Churn Analysis Toolkit,Session,Data and Analytics Skills,No categories,male
Jazmyn Li,Understand Server Tools (for Tableau Partners only),Session,Tableau at Scale,No categories,female
Jim Multari,Comcast: Measuring and Visualizing Sales Excellence,Session,Data Management & Data Culture,Sales,male
Yasmine Ndassa,Comcast: Measuring and Visualizing Sales Excellence,Session,Data Management & Data Culture,Sales,female
Sean Li,From License to Landing,Session,Tableau at Scale,No categories,male
Edwin Deleon,Google BigQuery ML in Tableau,Session,Embedded Analytics,No categories,male
Monica Willbrand,Google BigQuery ML in Tableau,Session,Embedded Analytics,No categories,female
Sandlin Seguin,What Tech Support Wishes You Knew About Your Deployment,Session,Tableau at Scale,No categories,unknown
Daniel Graef,What Tech Support Wishes You Knew About Your Deployment,Session,Tableau at Scale,No categories,male
Mathew Luebbert,Sets on the Beach,Session,Data and Analytics Skills,No categories,male
Jonathan Drummey,Zen Master: You Did What to your Data? A Deep Dive into Imputing and Densifying Data,Session,Dashboard and Design & Data and Analytics Skills,No categories,male
Nadia Chung,City of Hope: Using Tableau to Improve Data Utilization and Make Data-Driven Decisions in a Cohort Study,Session,Tableau Community,Healthcare,female
Emma Spielfogel,City of Hope: Using Tableau to Improve Data Utilization and Make Data-Driven Decisions in a Cohort Study,Session,Tableau Community,Healthcare,female
Rajesh Garudammagari,Honeywell: Transformation Towards Self-Service Digital Analytics,Session,Data Culture,No categories,male
Jessica Toney,Calling All New Tableau Users,Hands-on Training,Data and Analytics Skills,No categories,female
Tim Lens,Calling All New Tableau Users,Hands-on Training,Data and Analytics Skills,No categories,male
Steven Safreno,Leveraging Full Potential of Tableau with Extracts,Hands-on Training,Data Management & Embedded Analytics & Tableau Community,No categories,male
Valeri Kim,Leveraging Full Potential of Tableau with Extracts,Hands-on Training,Data Management & Embedded Analytics & Tableau Community,No categories,male
Brodie Dore,Ochsner Health System: Putting Patients First and Learning from our Patient’s Satisfaction Scores,Session,Data Culture & Data and Analytics Skills,Healthcare,male
Marina Brazhnikova,Ochsner Health System: Putting Patients First and Learning from our Patient’s Satisfaction Scores,Session,Data Culture & Data and Analytics Skills,Healthcare,female
Robert Dahl,Charles Schwab: How Our Interaction Analytics Enabled Self Service Call Volume Prediction and Tracking,Session,Data Culture & Dashboard and Design,Financial Services,male
Hilary Feier,Shoot the Moon! Small Steps and Giant Leaps Towards a Modern Culture of Data,Session,Data Culture,No categories,female
Amy Song,GoDaddy: GoData Web Analytics Lessons Learned,Session,Data and Analytics Skills,Marketing,female
Michael Holcomb,Enabling Everyone to Proficiency,Session,Data Culture,No categories,male
Ivan Coelho,"When Sets Rock, When Parameters Roll",Session,Data and Analytics Skills,No categories,male
Lovekesh Babbar,Best Practices for Dashboard Performance,Session,Dashboard and Design,No categories,unknown
Robert Brewer,Tableau Server on Linux 2019 Update,Session,Tableau at Scale,No categories,male
Bernhard Damberger,Tableau Server on Linux 2019 Update,Session,Tableau at Scale,No categories,male
Jack Mardack,Attributes of a Modern Data Warehouse: What it Takes to do Enterprise-class Analytics Workloads,Session,No theme,No categories,male
Justin Kruger,Optimal Sales Territory Planning,Session,Data and Analytics Skills,Sales,male
Hunter Barcello,Optimal Sales Territory Planning,Session,Data and Analytics Skills,Sales,mostly_male
Jill Hutchinson,The Better Builder: Automating Data Preparation with Prep Builder and Conductor,Session,Smart Analytics,No categories,female
Daniel Davis,Tapestry Inc: Productizing Data Science with Tableau and AWS,Session,Embedded Analytics,No categories,male
Dustin Schimek,The Master Lock Company: How 8020 and Tableau Simplified Master Lock's Business,Session,Data Culture,No categories,male
Katie Hermann,The Master Lock Company: How 8020 and Tableau Simplified Master Lock's Business,Session,Data Culture,No categories,female
David Sears,"Ice, Ice, Baby: Cubes, Tableau and OLAP Data",Hands-on Training,Data Management,No categories,male
Bill Buttling,"Ice, Ice, Baby: Cubes, Tableau and OLAP Data",Hands-on Training,Data Management,No categories,male
Patrick VanderKnyff,Connector Plugins: How I Learned to Stop Worrying and Love the Taco,Session,Embedded Analytics & Data Management & Tableau Community,No categories,male
Stephen Lin,Connector Plugins: How I Learned to Stop Worrying and Love the Taco,Session,Embedded Analytics & Data Management & Tableau Community,No categories,male
Grant Joseph,Templating in Tableau: Introducing the Content Migration Tool,Hands-on Training,Tableau at Scale,No categories,male
Nnenna Nwagbo,Templating in Tableau: Introducing the Content Migration Tool,Hands-on Training,Tableau at Scale,No categories,unknown
Anchit Singh,Fundbox: Making Data Democratic and Driving a Data-Driven Decision Culture,Session,Data Culture,Financial Services,unknown
Bryce Gartner,Tableau Fully Evolved: Expanding Tableau’s Capabilities to Drive Innovation,Session,No theme,No categories,mostly_male
Jimmy Garrett,What Happens in Alteryx Slays in Tableau,Hands-on Training,No theme,No categories,male
Brandon Bak,What Happens in Alteryx Slays in Tableau,Hands-on Training,No theme,No categories,male
Hemanth Srinivas,Enhance Your Enterprise Capabilities with the Tableau Server Management Add-on,Session,Tableau at Scale,No categories,unknown
Richard Fayers,"Embedding Tableau Dashboards in Salesforce: Elsevier Creates a Seamless, User-friendly Reporting Experience",Session,Embedded Analytics,No categories,male
Tom Perry,"Embedding Tableau Dashboards in Salesforce: Elsevier Creates a Seamless, User-friendly Reporting Experience",Session,Embedded Analytics,No categories,male
Bruce Landay,Schneider Electric: Tableau User Engagement Journey for North American Global Supply Chain,Session,Tableau at Scale & Data Culture,No categories,male
Hannah Tikalsky,LifeLong Medical Care: Let's Go Apple Picking for Clinical Quality Measures!,Session,Tableau Community,Healthcare,female
Pavels Kilivniks,LinkedIn: How Tableau helped us drive business outcomes at scale,Session,Data and Analytics Skills,Sales,male
Sean Mann,Tableau Extensions Security and Administration,Session,Embedded Analytics & Tableau Community,No categories,male
Nikhil Lakshman,Tableau Extensions Security and Administration,Session,Embedded Analytics & Tableau Community,No categories,male
Issa Beekun,Data Prep Introduction: Learn the Basics,Session,Data Management,No categories,male
Joe Bush,Bank of America: The Workforce Analytics Teams Bring It All Together,Session,Dashboard and Design,Financial Services,male
Jason White,Bank of America: The Workforce Analytics Teams Bring It All Together,Session,Dashboard and Design,Financial Services,male
Gary Gruccio,"Signet Jewelers: Path to Brilliance, Building an Analytical Center of Excellence",Session,Data Culture,No categories,male
Ian Reed,"Signet Jewelers: Path to Brilliance, Building an Analytical Center of Excellence",Session,Data Culture,No categories,male
Hendrik Kleine,UnitedHealth Group: Delivering Statistical Controls and Performance Insights at Scale,Session,Data and Analytics Skills & Data Culture,Healthcare,male
Tamas Foldi,Zen Master: Taking Tableau to the Extreme by using Extensions API to do anything you want,Session,Embedded Analytics,No categories,male
Chris DeMartini,Zen Master: Taking Tableau to the Extreme by using Extensions API to do anything you want,Session,Embedded Analytics,No categories,mostly_male
George Fraser,Cloud Data Warehousing: It's Time to Re-think Your Data Architecture,Session,No theme,No categories,male
Christopher Robinson,You've Been Served! Simplifying Tableau Server Administration,Hands-on Training,Tableau at Scale,No categories,male
Miles Freeborn,You've Been Served! Simplifying Tableau Server Administration,Hands-on Training,Tableau at Scale,No categories,male
Jamie Lahiere,"Whole Foods Market: How We Engaged 10,000 People to Effect a Transformation",Session,Data Culture,Retail,mostly_female
Samantha Lin,Five Steps to Fabulous Dashboards: Tips and Tricks Part 2,Session,Dashboard and Design,No categories,female
Tom Christian,Five Steps to Fabulous Dashboards: Tips and Tricks Part 2,Session,Dashboard and Design,No categories,male
